debate_name,debate_url
"September 26, 2016: The First Clinton-Trump Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/september-26-2016-debate-transcript/
"October 4, 2016: The Kain-Pence Vice Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-4-2016-debate-transcript/
"October 9, 2016: The Second Clinton-Trump Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-9-2016-debate-transcript/
"October 19, 2016: The Third Clinton-Trump Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-19-2016-debate-transcript/
"October 3, 2012: The First Obama-Romney Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-3-2012-debate-transcript/
"October 11, 2012: The Biden-Ryan Vice Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-11-2012-the-biden-romney-vice-presidential-debate/
"October 16, 2012: The Second Obama-Romney Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-16-2012-the-second-obama-romney-presidential-debate/
"October 22, 2012: The Third Obama-Romney Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-22-2012-the-third-obama-romney-presidential-debate/
"September 26, 2008: The First McCain-Obama Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/2008-debate-transcript/
"October 2, 2008: The Biden-Palin Vice Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/2008-debate-transcript-2/
"October 7, 2008: The Second McCain-Obama Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-7-2008-debate-transcrip/
"October 15, 2008: The Third McCain-Obama Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-15-2008-debate-transcript/
"October 13, 2004: The Third Bush-Kerry Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-13-2004-debate-transcript/
"October 8, 2004: The Second Bush-Kerry Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-8-2004-debate-transcript/
"October 5, 2004: The Cheney-Edwards Vice Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-5-2004-transcript/
"September 30, 2004: The First Bush-Kerry Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/september-30-2004-debate-transcript/
